CRASH_DATE,CRASH_SEVE,CRASH_WEAT,NO_OF_VEHI,LIGHT_COND,CRASH_HOUR,CRASH_YEAR,PHYSICAL_1,Lon,Lat,Color
2010-04-01T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,4. Darkness - Road Lighted,1:54,2010,Fairfax County,-77.39594117,38.85328752,1
2010-07-03T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,17:45,2010,Prince William County,-77.57227477,38.79777963,1
2010-12-25T00:00:00.000Z,Property Damage Crash,6. Snow,1,2. Daylight,14:41,2010,Montgomery County,-80.43944787,37.0327995,0
2010-12-27T00:00:00.000Z,Property Damage Crash,6. Snow,1,5. Darkness - Road Not Lighted,0:17,2010,Montgomery County,-80.50304816,37.14793424,0
2010-12-24T00:00:00.000Z,Property Damage Crash,6. Snow,1,7. Unknown,18:00,2010,Montgomery County,-80.25573122,37.16882508,0
2010-06-02T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,6:05,2010,Prince William County,-77.52165917,38.80123774,0
2010-03-23T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,3. Dusk,18:40,2010,Fairfax County,-77.45085106,38.83311501,0
2010-01-21T00:00:00.000Z,Property Damage Crash,7. Sleet/Hail,1,5. Darkness - Road Not Lighted,20:46,2010,Warren County,-78.12099112,38.91885516,0
2010-01-26T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),4,2. Daylight,8:55,2010,Fairfax County,-77.44895174,38.83480838,0
2010-01-29T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,7:40,2010,Fairfax County,-77.43664323,38.84516707,0
2010-05-23T00:00:00.000Z,Property Damage Crash,5. Rain,1,5. Darkness - Road Not Lighted,0:45,2010,Prince William County,-77.61710056,38.80666879,0
2010-05-27T00:00:00.000Z,Injury Crash,5. Rain,2,4. Darkness - Road Lighted,22:30,2010,Fairfax County,-77.44180876,38.84272328,1
2010-05-25T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,8:50,2010,Fairfax County,-77.1705835,38.89540147,0
2010-08-29T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,17:40,2010,Fairfax County,-77.22795235,38.88367324,0
2010-07-04T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,2:10,2010,Fauquier County,-77.7296591,38.82811604,0
2010-08-02T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,1. Dawn,15:40,2010,Arlington County,-77.08531009,38.89751609,0
2010-08-13T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),2,4. Darkness - Road Lighted,23:31,2010,Town of Front Royal,-78.19891239,38.9281305,2
2010-08-07T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,4. Darkness - Road Lighted,4:54,2010,Fairfax County,-77.39041062,38.85429437,0
2010-08-06T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),2,5. Darkness - Road Not Lighted,3:50,2010,Montgomery County,-80.4538644,37.1073679,2
2010-08-10T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,16:48,2010,Fairfax County,-77.30727034,38.86920574,0
2010-09-19T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,4. Darkness - Road Lighted,21:43,2010,Arlington County,-77.11255817,38.88863752,0
2010-09-21T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,9:54,2010,Arlington County,-77.16840949,38.89378835,0
2010-08-26T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),4,2. Daylight,17:40,2010,Fairfax County,-77.43222945,38.84673701,1
2010-10-31T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,16:00,2010,Fairfax County,-77.31754545,38.86737827,1
2010-08-06T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,0:59,2010,City of Charlottesville,-78.46646002,38.03874828,2
2010-04-11T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,16:45,2010,Town of Vienna,-77.24690856,38.87945885,0
2010-05-14T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,16:50,2010,Fairfax County,-77.26609268,38.87859056,0
2010-10-08T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,17:08,2010,Fairfax County,-77.30829075,38.86883908,1
2010-06-03T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,9:30,2010,Fairfax County,-77.27954031,38.87577377,0
2010-05-22T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,4:10,2010,Prince William County,-77.54857845,38.79940133,1
2010-08-21T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,16:50,2010,Fairfax County,-77.25748203,38.87888748,0
2010-08-23T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,10:55,2010,Fairfax County,-77.26342435,38.87891767,0
2010-08-31T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,7:43,2010,Fairfax County,-77.35980536,38.85954992,1
2010-08-05T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,12:09,2010,Bland County,-81.12177113,37.12121869,0
2010-11-02T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,14:30,2010,Hanover County,-77.45325266,37.73737452,1
2010-10-26T00:00:00.000Z,Fatal Crash,5. Rain,1,5. Darkness - Road Not Lighted,21:20,2010,Bland County,-80.96796613,37.18819556,2
2010-11-22T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,17:14,2010,Prince George County,-77.22280878,37.30613877,0
2010-05-26T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,15:23,2010,Prince George County,-77.31047963,37.23185453,1
2010-12-01T00:00:00.000Z,Property Damage Crash,5. Rain,1,3. Dusk,7:00,2010,Fauquier County,-77.90911954,38.89048587,0
2010-11-05T00:00:00.000Z,Pedestrian Fatal Crash,1. No Adverse Condition (Clear/Cloudy),2,5. Darkness - Road Not Lighted,20:11,2010,Fairfax County,-77.10778408,38.72922639,3
2010-05-23T00:00:00.000Z,Property Damage Crash,5. Rain,2,4. Darkness - Road Lighted,0:12,2010,Fairfax County,-77.3072918,38.86901845,0
2010-10-06T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),3,4. Darkness - Road Lighted,18:43,2010,Arlington County,-77.12028815,38.8835036,0
2010-10-13T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,3:31,2010,Arlington County,-77.16057262,38.88764429,1
2010-08-18T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,18:20,2010,Fairfax County,-77.27999212,38.87595553,0
2010-01-08T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,5. Darkness - Road Not Lighted,6:19,2010,Greensville County,-77.52135186,36.65916222,0
2010-10-22T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,15:05,2010,Bland County,-80.95930612,37.20086049,2
2010-07-25T00:00:00.000Z,Fatal Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,15:30,2010,Fauquier County,-77.60140162,38.5941747,2
2010-08-24T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,16:59,2010,Montgomery County,-80.5035492,37.09935774,1
2010-08-25T00:00:00.000Z,Property Damage Crash,5. Rain,1,1. Dawn,6:45,2010,Montgomery County,-80.33087152,37.05801319,0
2010-08-27T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,1. Dawn,7:02,2010,Montgomery County,-80.51194115,37.07730879,0
2010-08-27T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,16:39,2010,Montgomery County,-80.50927136,37.1710623,0
2010-03-08T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,8:05,2010,Fairfax County,-77.44096819,38.84290005,1
2010-05-25T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,18:45,2010,Fairfax County,-77.3072829,38.86920352,0
2010-05-23T00:00:00.000Z,Injury Crash,5. Rain,1,5. Darkness - Road Not Lighted,1:15,2010,Prince William County,-77.53537765,38.80054101,1
2010-05-28T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,18:35,2010,Fairfax County,-77.20177102,38.89582376,0
2010-05-20T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,8:25,2010,Fairfax County,-77.35634384,38.86017664,1
2010-05-25T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),3,2. Daylight,20:45,2010,Fairfax County,-77.27101206,38.87813764,1
2010-06-08T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,8:08,2010,Powhatan County,-77.92368089,37.54980016,0
2010-02-13T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,5. Darkness - Road Not Lighted,20:25,2010,Town of Ashland,-77.47154166,37.76444443,1
2010-02-17T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,5. Darkness - Road Not Lighted,19:49,2010,Town of Ashland,-77.46788624,37.75826546,0
2010-04-26T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,8:00,2010,City of Franklin,-76.94440652,36.6776793,0
2010-04-26T00:00:00.000Z,Property Damage Crash,5. Rain,2,2. Daylight,19:10,2010,Town of Tazewell,-81.49284574,37.13132492,0
2010-05-01T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,9:37,2010,City of Norton,-82.63108021,36.92896812,0
2010-06-04T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),1,2. Daylight,10:58,2010,Town of Abingdon,-82.00905418,36.69781625,0
2010-01-27T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,14:15,2010,City of Franklin,-76.94017808,36.67436466,1
2010-07-19T00:00:00.000Z,Property Damage Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,8:20,2010,Fairfax County,-77.43416259,38.8459542,0
2010-07-22T00:00:00.000Z,Injury Crash,1. No Adverse Condition (Clear/Cloudy),2,2. Daylight,8:30,2010,Arlington County,-77.16507696,38.89033143,1
